,数据名称,店铺,数据标签,数据大小,浏览量,价格
0,1.0,2.9565217391304346,1.4,629760.0,23413,1.0
1,1.0,2.9565217391304346,1.4,987136.0,28552,1.0
2,372.0,350.89473684210526,356.0,3398297.0,33329,399.0
3,1000.0,2896.470588235294,3077.0526315789475,102400.0,27959,1000.0
4,3.0,2.9565217391304346,1.4,1677721.6,28384,3.0
5,5000.0,2896.470588235294,3077.0526315789475,231424.0,22581,5000.0
6,199.0,186.03571428571428,298.35833333333335,1826487.0,26900,199.0
7,200.0,186.03571428571428,298.35833333333335,3064672.0,29145,200.0
8,272.0,350.89473684210526,298.35833333333335,1826487.0,32200,199.0
9,199.0,186.03571428571428,298.35833333333335,1826487.0,23362,199.0
10,199.0,186.03571428571428,298.35833333333335,1826487.0,29591,199.0
11,1000.0,891.6666666666666,298.35833333333335,174587904.0,27674,1000.0
12,1000.0,891.6666666666666,298.35833333333335,147324928.0,27684,1000.0
13,1000.0,891.6666666666666,298.35833333333335,180669644.8,27271,1000.0
14,1000.0,891.6666666666666,298.35833333333335,158230118.4,24833,1000.0
15,1000.0,891.6666666666666,298.35833333333335,273992908.8,25914,1000.0
16,199.0,199.0,199.6,1826487.0,25801,199.0
17,350.0,891.6666666666666,298.35833333333335,197761433.6,23409,350.0
18,199.0,186.03571428571428,298.35833333333335,1826487.0,26870,199.0
19,79.0,1039.5,298.35833333333335,1292277.0,28156,79.0
20,1.0,350.89473684210526,356.0,1282103.0,27183,1.0
21,337.6,350.89473684210526,356.0,3398297.0,30496,399.0
22,4100.0,2896.470588235294,3077.0526315789475,219136.0,24946,4100.0
23,4000.0,2896.470588235294,3077.0526315789475,235520.0,29923,4000.0
24,1.0,2.9565217391304346,1.4,1992294.4,24486,1.0
25,2720.0,2896.470588235294,3077.0526315789475,188416.0,24009,2720.0
26,272.0,350.89473684210526,356.0,1826487.0,30320,199.0
27,199.0,199.0,356.0,1826487.0,25383,199.0
28,199.33333333333334,210.46808510638297,199.6,3064672.0,22371,200.0
29,240.0,186.03571428571428,243.6,3064672.0,23439,240.0
30,500.0,500.0,3077.0526315789475,3398297.0,24719,500.0
31,199.0,199.0,199.6,1826487.0,31007,199.0
32,200.0,186.03571428571428,175.4,3064672.0,30849,200.0
33,199.0,199.0,356.0,1826487.0,25550,199.0
34,199.0,199.0,356.0,1826487.0,31017,199.0
35,250.0,186.03571428571428,250.0,3064672.0,28766,250.0
36,199.0,199.0,298.35833333333335,1826487.0,25616,199.0
37,350.0,186.03571428571428,298.35833333333335,15784147.0,21812,350.0
38,529.0,315.81666666666666,356.0,3398297.0,30985,529.0
39,199.0,199.0,199.875,1826487.0,22514,199.0
40,100.0,186.03571428571428,298.35833333333335,1292277.0,21812,100.0
41,80.0,186.03571428571428,175.4,1292277.0,27446,80.0
42,161.33333333333334,199.0,356.0,1826487.0,28597,199.0
43,199.5,199.0,175.4,1826487.0,28794,199.0
44,393.3333333333333,315.81666666666666,3077.0526315789475,3064672.0,26497,240.0
45,372.0,315.81666666666666,356.0,3064672.0,26270,345.0
46,199.5,210.46808510638297,199.875,3064672.0,30857,200.0
47,1500.0,350.89473684210526,298.35833333333335,5075889.0,26919,1500.0
48,300.0,315.81666666666666,298.35833333333335,3064672.0,29885,300.0
49,199.0,199.0,298.35833333333335,1826487.0,24275,199.0
50,199.5,210.46808510638297,199.875,3064672.0,30110,200.0
51,337.6,315.81666666666666,356.0,3064672.0,21678,345.0
52,529.0,315.81666666666666,356.0,3398297.0,25277,529.0
53,563.3333333333334,315.81666666666666,298.35833333333335,1292277.0,28366,95.0
54,199.33333333333334,234.55555555555554,199.0,1826487.0,22358,199.0
55,199.66666666666666,210.46808510638297,199.6,3064672.0,22845,200.0
56,199.0,199.0,298.35833333333335,1826487.0,28678,199.0
57,180.0,136.66666666666666,189.5,1529314.0,31103,180.0
58,199.0,199.0,298.35833333333335,1826487.0,22771,199.0
59,199.0,199.0,459.95717391304345,1826487.0,24976,199.0
60,50.0,127.51428571428572,298.35833333333335,1292277.0,30336,50.0
61,199.5,199.0,298.35833333333335,1826487.0,23236,199.0
62,199.33333333333334,199.0,298.35833333333335,1826487.0,22061,199.0
63,161.33333333333334,210.46808510638297,356.0,3064672.0,29229,235.0
64,199.5,199.0,298.35833333333335,1826487.0,26939,199.0
65,1.0,350.89473684210526,356.0,1282103.0,27742,1.0
66,199.0,210.46808510638297,298.35833333333335,1826487.0,27025,199.0
68,279.5,199.0,175.4,1826487.0,24234,199.0
69,200.0,210.46808510638297,298.35833333333335,3064672.0,20818,200.0
70,308.0,210.46808510638297,298.35833333333335,3064672.0,30177,308.0
71,199.5,210.46808510638297,199.6,3064672.0,24886,200.0
72,200.0,210.46808510638297,356.0,3064672.0,26076,200.0
73,272.0,315.81666666666666,298.35833333333335,3064672.0,23037,345.0
74,200.0,210.46808510638297,199.875,3064672.0,27555,200.0
75,200.0,210.46808510638297,199.875,3064672.0,26248,200.0
76,200.0,210.46808510638297,199.875,3064672.0,25961,200.0
77,200.0,210.46808510638297,199.875,3064672.0,21774,200.0
78,199.0,199.0,3077.0526315789475,1826487.0,21811,199.0
79,2000.0,1039.5,356.0,5075889.0,31576,2000.0
80,2000.0,3500.0,3077.0526315789475,21600665.6,28136,2000.0
82,3000.0,3500.0,3077.0526315789475,14889779.2,23851,3000.0
83,5000.0,2896.470588235294,3077.0526315789475,302080.0,22332,5000.0
84,150.0,2896.470588235294,298.35833333333335,12268339.2,21044,150.0
85,150.0,2896.470588235294,298.35833333333335,12792627.2,20451,150.0
86,4000.0,3500.0,3077.0526315789475,7759462.4,21670,4000.0
87,4000.0,3500.0,3077.0526315789475,5662310.4,30724,4000.0
88,4000.0,3500.0,3077.0526315789475,12268339.2,24579,4000.0
89,4000.0,3500.0,3077.0526315789475,13736345.6,26539,4000.0
91,5000.0,5067.5,3077.0526315789475,231424.0,25896,5000.0
92,1.0,2.9565217391304346,1.4,623616.0,21577,1.0
93,5000.0,5067.5,3077.0526315789475,303104.0,24192,5000.0
94,2720.0,5067.5,3077.0526315789475,188416.0,21539,2720.0
95,12720.0,5067.5,3077.0526315789475,595968.0,20740,12720.0
96,2000.0,5067.5,3077.0526315789475,105472.0,23373,2000.0
97,4100.0,5067.5,3077.0526315789475,218112.0,21066,4100.0
98,4000.0,5067.5,3077.0526315789475,233472.0,25215,4000.0
99,5000.0,5067.5,3077.0526315789475,236544.0,26174,5000.0
101,299.0,249.0,3077.0526315789475,3064672.0,23093,299.0
102,299.0,249.0,3077.0526315789475,3064672.0,29757,299.0
103,199.0,249.0,3077.0526315789475,1826487.0,20868,199.0
104,199.0,199.0,298.35833333333335,1826487.0,24173,199.0
117,199.0,199.0,298.35833333333335,1826487.0,27240,199.0
118,199.0,199.0,298.35833333333335,1826487.0,21519,199.0
119,199.0,199.0,298.35833333333335,1826487.0,25533,199.0
120,199.0,199.0,298.35833333333335,1826487.0,20944,199.0
121,199.0,199.0,298.35833333333335,1826487.0,24167,199.0
122,199.0,199.0,298.35833333333335,1826487.0,26395,199.0
123,199.0,199.0,298.35833333333335,1826487.0,23517,199.0
124,199.0,199.0,175.4,1826487.0,27668,199.0
125,199.0,199.0,298.35833333333335,1826487.0,30062,199.0
126,120.0,315.0,298.35833333333335,1292277.0,30385,120.0
127,159.5,315.0,298.35833333333335,1292277.0,23640,120.0
128,159.5,315.0,298.35833333333335,1292277.0,25275,120.0
130,199.0,199.0,356.0,1826487.0,23059,199.0
131,199.0,199.0,356.0,1826487.0,30486,199.0
132,399.57142857142856,200.0,298.35833333333335,3064672.0,22925,200.0
133,159.5,135.86363636363637,298.35833333333335,1826487.0,24665,199.0
134,159.5,135.86363636363637,298.35833333333335,1826487.0,27217,199.0
135,399.57142857142856,135.86363636363637,298.35833333333335,1826487.0,27687,199.0
136,199.0,135.86363636363637,298.35833333333335,1826487.0,25701,199.0
137,235.0,210.46808510638297,298.35833333333335,3064672.0,28492,235.0
138,50.0,50.0,3077.0526315789475,1292277.0,31208,50.0
139,50.0,50.0,298.35833333333335,1292277.0,28960,50.0
140,50.0,50.0,3077.0526315789475,1292277.0,30730,50.0
141,50.0,50.0,50.0,1292277.0,30706,50.0
142,99.0,127.51428571428572,298.35833333333335,1292277.0,21350,99.0
143,99.0,127.51428571428572,298.35833333333335,1292277.0,24150,99.0
144,99.0,127.51428571428572,298.35833333333335,1292277.0,20374,99.0
145,279.5,127.51428571428572,298.35833333333335,3398297.0,23811,360.0
146,161.33333333333334,127.51428571428572,298.35833333333335,1292277.0,26150,50.0
147,50.0,127.51428571428572,50.0,1292277.0,22090,50.0
148,199.0,199.0,199.0,1826487.0,29929,199.0
149,199.0,350.89473684210526,298.35833333333335,1826487.0,28476,199.0
150,532.6666666666666,350.89473684210526,356.0,3398297.0,29717,399.0
151,199.0,249.0,189.5,1826487.0,21490,199.0
152,272.0,315.81666666666666,356.0,3064672.0,22265,345.0
153,399.57142857142856,315.0,298.35833333333335,3398297.0,28977,900.0
154,50.0,70.0,298.35833333333335,1292277.0,21851,50.0
155,200.0,210.46808510638297,199.875,3064672.0,23478,200.0
156,2683.0981704596156,2683.0981704596156,2683.0981704596156,15784147.0,33304,350.0
157,130.0,200.0,145.05882352941177,3064672.0,42258,200.0
158,2683.0981704596156,290.6666666666667,316.0,1826487.0,42976,199.0
159,2683.0981704596156,199.5,543.975,1826487.0,40819,199.0
160,163.6,205.45454545454547,200.0,3064672.0,45028,200.0
161,2683.0981704596156,1886.3636363636363,271.4418604651163,3398297.0,28759,500.0
162,219.5,127.51428571428572,237.23076923076923,1826487.0,30821,199.0
163,2683.0981704596156,1886.3636363636363,213.71428571428572,3064672.0,22516,300.0
164,2683.0981704596156,186.03571428571428,145.05882352941177,1292277.0,35787,140.0
165,399.5,229.0,206.1851851851852,3064672.0,33581,299.0
166,2683.0981704596156,186.03571428571428,243.6,3064672.0,36577,280.0
167,2683.0981704596156,186.03571428571428,282.5,3064672.0,25744,290.0
168,2683.0981704596156,369400.0,2683.0981704596156,57409581.0,40788,294400.0
169,2683.0981704596156,1886.3636363636363,271.4418604651163,3064672.0,25391,200.0
170,2683.0981704596156,1886.3636363636363,178.93333333333334,3064672.0,25469,300.0
171,2683.0981704596156,1886.3636363636363,178.93333333333334,3064672.0,25620,300.0
172,250.0,300.0,300.0,3064672.0,36616,300.0
173,2683.0981704596156,1886.3636363636363,271.4418604651163,3064672.0,23852,300.0
174,2683.0981704596156,1886.3636363636363,286.3333333333333,3064672.0,24542,300.0
175,2683.0981704596156,1886.3636363636363,271.4418604651163,3064672.0,24257,200.0
176,2683.0981704596156,1886.3636363636363,178.93333333333334,3064672.0,26753,300.0
177,2683.0981704596156,1886.3636363636363,178.93333333333334,3064672.0,23616,300.0
178,2683.0981704596156,1886.3636363636363,271.4418604651163,3064672.0,26449,200.0
179,2683.0981704596156,1886.3636363636363,271.4418604651163,3398297.0,25094,500.0
180,2683.0981704596156,1886.3636363636363,213.71428571428572,3064672.0,28461,300.0
181,2683.0981704596156,1886.3636363636363,271.4418604651163,3398297.0,28756,500.0
182,2683.0981704596156,186.03571428571428,282.5,3064672.0,30722,290.0
183,2683.0981704596156,315.81666666666666,264.14285714285717,3398297.0,55892,450.0
184,2683.0981704596156,205.45454545454547,206.1851851851852,3064672.0,30123,200.0
185,2683.0981704596156,186.03571428571428,214.5,3064672.0,30374,220.0
186,219.5,315.81666666666666,2683.0981704596156,3064672.0,37356,240.0
187,2683.0981704596156,369400.0,2683.0981704596156,57409581.0,31071,294400.0
188,250.0,200.0,178.93333333333334,3064672.0,25577,200.0
