,Unnamed: 0,数据名称,数据类型,数据标签,数据大小,数据格式,时间范围,数据规格,价格,评价,浏览量,店铺
0,0,人工智能行业周报12.4--12.10,文本,智能投顾 ,629760.0,pdf,2017.12-2017.12,单个报告 ,1.0,5.0分,23413,中科点击（北京）科技有限公司
1,1,人工智能行业动态报告月报2017.10,文本,智能投顾 ,987136.0,pdf,2017.10-2017.11,单个报告 ,1.0,5.0分,28552,中科点击（北京）科技有限公司
2,2,身份证识别,,智能风控 ,3398297.0,,,1万次≈0.070元/次 5万次≈0.060元/次 10万次≈0.050元/次 ,399.0,5.0分,33329,翔云人工智能开放平台
3,3,1000轮对话-金融保险类,文本,智能客服 ,102400.0,excel,2017.12-2018.01,单个数据 ,1000.0,5.0分,27959,盐城大丰新锐数据服务有限公司
4,4,人工智能行业月报2018年5月,文本,智能投顾 ,1677721.6,pdf,-,单个报告 ,3.0,5.0分,28384,中科点击（北京）科技有限公司
5,5,金融类对话语料-2500轮-第4批,文本,智能客服 ,231424.0,.xlsx,2018.03-2018.04,单个数据 ,5000.0,5.0分,22581,盐城大丰新锐数据服务有限公司
6,6,身份证OCR正反面单双面识别高清版,,智能识别 ,1826487.0,,,1万次≈0.028元/次 5万次≈0.022元/次 20万次≈0.020元/次 ,199.0,5.0分,26900,天眼数聚
7,7,银行卡OCR识别高清版,,智能识别 ,3064672.0,,,2万次≈0.030元/次 5万次≈0.024元/次 20万次≈0.022元/次 ,200.0,5.0分,29145,天眼数聚
8,8,车牌识别,,智能识别 ,1826487.0,,,1万次≈0.035元/次 5万次≈0.030元/次 10万次≈0.025元/次 ,199.0,5.0分,32200,翔云人工智能开放平台
9,9,营业执照OCR识别极速高清版,,智能识别 ,1826487.0,,,5000次≈0.12元/次 1万次≈0.10元/次 5万次≈0.090元/次 ,199.0,5.0分,23362,天眼数聚
10,10,行驶证OCR识别高清版,,智能识别 ,1826487.0,,,3万次≈0.030元/次 5万次≈0.028元/次 10万次≈0.025元/次 ,199.0,5.0分,29591,天眼数聚
11,11,商品类目图片-T恤衫,图片,智能识别 ,174587904.0,jpg jpeg png等,2016.09-2016.09,单个数据 ,1000.0,5.0分,27674,博彦多彩数据科技有限公司
12,12,商品类目图片-牛仔裤,图片,智能识别 ,147324928.0,jpg jpeg png等,2016.09-2016.09,单个数据 ,1000.0,5.0分,27684,博彦多彩数据科技有限公司
13,13,商品类目图片-短靴,图片,智能识别 ,180669644.8,jpg jpeg png等,2016.09-2016.09,单个数据 ,1000.0,5.0分,27271,博彦多彩数据科技有限公司
14,14,商品类目图片-毛呢大衣,图片,智能识别 ,158230118.4,jpg jpeg png等,2016.09-2016.09,单个数据 ,1000.0,5.0分,24833,博彦多彩数据科技有限公司
15,15,商品类目图片-休闲裙,图片,智能识别 ,273992908.8,jpg jpeg png等,2016.09-2016.09,单个数据 ,1000.0,5.0分,25914,博彦多彩数据科技有限公司
16,16,汉王云身份证识别,,1分钱 智能风控 ,1826487.0,,,6000次≈0.14元/次 1万次≈0.13元/次 10万次≈0.073元/次 ,199.0,5.0分,25801,汉王科技股份有限公司
17,17,商品类目图片-笔类-含噪音,图片,智能识别 ,197761433.6,jpg jpeg png等,2016.09-2016.09,单个数据 ,350.0,5.0分,23409,博彦多彩数据科技有限公司
18,18,驾驶证OCR识别高清版,,智能识别 ,1826487.0,,,3万次≈0.030元/次 5万次≈0.028元/次 10万次≈0.025元/次 ,199.0,5.0分,26870,天眼数聚
19,19,车牌识别API,,智能识别 ,1292277.0,,,1万次≈0.030元/次 5万次≈0.028元/次 10万次≈0.025元/次 ,79.0,5.0分,28156,无锡乐骐科技有限公司
20,20,证件识别,,智能风控 ,1282103.0,,,5000次≈0.080元/次 1万次≈0.070元/次 5万次≈0.060元/次 10万次≈0.050元/次 ,1.0,5.0分,27183,翔云人工智能开放平台
21,21,银行卡识别,,智能风控 ,3398297.0,,,1万次≈0.070元/次 5万次≈0.060元/次 10万次≈0.050元/次 ,399.0,5.0分,30496,翔云人工智能开放平台
22,22,金融类对话语料-2050轮,文本,智能客服 ,219136.0,xlsx,2018.02-2018.02,单个数据 ,4100.0,5.0分,24946,盐城大丰新锐数据服务有限公司
23,23,金融类对话语料-2000轮,文本,智能客服 ,235520.0,.xlsx,2018.03-2018.03,单个数据 ,4000.0,5.0分,29923,盐城大丰新锐数据服务有限公司
24,24,人工智能行业动态周简报,文本,智能投顾 ,1992294.4,pdf,2017.09-2017.10,单个报告 ,1.0,5.0分,24486,中科点击（北京）科技有限公司
25,25,金融类对话语料-1360轮-第5批,文本,智能客服 ,188416.0,.xlsx,2018.04-2018.04,单个数据 ,2720.0,5.0分,24009,盐城大丰新锐数据服务有限公司
